Neighborhood,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenQual,GarageCars,GarageArea,LotArea,MSZoning,SalePrice
Crawfor,2543,1,1956,1982,105.0,1845,698,2,1,1,TA,0,0.0,14969,RL,260604
BrDale,501,5,2003,2010,1108.0,388,113,2,0,5,TA,2,350.0,4238,RL,246510
Timber,2772,9,1935,1942,213.0,1678,1094,1,1,1,Ex,0,0.0,3783,RM,647583
OldTown,3348,9,1978,1978,1144.0,2611,737,1,0,5,Gd,1,193.0,2675,RL,662630
Sawyer,2268,4,1991,2010,1155.0,1393,875,2,1,1,TA,2,320.0,11315,RL,307693
Veenker,2449,3,1956,1999,849.0,1365,1084,1,1,5,Ex,1,128.0,17928,RL,360043
StoneBr,3136,1,1948,1970,196.0,2318,818,2,1,4,TA,1,194.0,16360,C (all),339932
BrkSide,2663,2,1944,1975,18.0,1590,1073,1,0,2,TA,3,351.0,18163,RL,294346
NWAmes,1417,8,1981,1991,641.0,834,583,1,1,5,Gd,2,280.0,11954,RL,425578
NoRidge,3674,1,1965,2003,1035.0,2190,1484,3,1,4,Gd,0,,19619,RL,445881
NPkVill,2741,8,1976,2010,1104.0,2024,717,2,1,3,Ex,1,231.0,15553,RL,614445
Gilbert,3737,7,1944,1967,329.0,2738,999,3,1,1,TA,2,280.0,12865,RL,478021
SawyerW,3418,8,1978,1988,865.0,1918,1500,3,0,3,Gd,0,0.0,1387,RL,498015
NridgHt,589,6,1919,1947,773.0,314,275,2,0,4,Gd,3,726.0,10732,RM,274829
SWISU,2209,9,1963,1988,391.0,1318,891,2,1,3,TA,2,484.0,10064,RM,462421
NoRidge,2669,3,1992,2007,,1679,990,1,1,3,Gd,2,242.0,1478,RL,371407
Blueste,642,10,2005,2010,306.0,318,324,2,1,4,Gd,2,490.0,17846,RL,504595
NPkVill,3541,4,1992,2010,1290.0,2540,1001,3,0,2,TA,0,0.0,3940,RL,432285
Blueste,605,6,1966,2010,1470.0,359,246,3,1,5,Gd,1,229.0,10497,RL,249724
NoRidge,1386,8,1982,1984,1464.0,739,647,2,1,1,Fa,1,135.0,3721,RL,401489
Sawyer,927,5,1902,1902,894.0,410,517,3,0,5,TA,2,238.0,12247,RL,246131
Mitchel,1828,3,1953,1999,651.0,905,923,1,0,1,Gd,2,486.0,2517,RL,294054
BrkSide,2395,6,1977,1977,840.0,1867,528,3,0,5,Gd,0,0.0,3774,RL,371962
SWISU,2494,4,1963,1979,1025.0,1301,1193,1,1,3,Gd,3,657.0,2229,RL,331031
Crawfor,816,9,1939,1940,519.0,381,435,3,0,2,TA,2,,9258,RL,467264
Timber,2486,3,1958,1986,1785.0,1452,1034,1,0,3,Gd,2,330.0,2802,RL,342684
Crawfor,1134,4,1954,1973,1674.0,592,542,1,1,2,Fa,3,375.0,1720,FV,241854
Edwards,2425,7,1961,1966,635.0,1004,1421,2,0,4,TA,2,458.0,14880,RL,434908
NoRidge,2556,7,1903,1910,1332.0,1352,1204,1,1,1,Gd,1,155.0,17140,C (all),419822
Gilbert,3321,4,1959,1987,739.0,2051,1270,2,1,1,TA,2,266.0,7130,RL,393329
Timber,3644,6,1974,2010,,2261,1383,3,0,4,Gd,1,155.0,19133,C (all),448841
NWAmes,3930,3,1994,2010,468.0,2132,1798,3,1,5,TA,0,0.0,7111,RL,392902
SWISU,2770,6,2006,2008,211.0,1603,1167,3,0,4,TA,0,0.0,9919,FV,386617
BrDale,1939,2,1995,2010,1135.0,1524,415,1,0,4,Ex,1,149.0,14827,RL,294032
Mitchel,1052,8,1990,1994,1031.0,579,473,3,0,2,Gd,1,183.0,17523,RL,446883
NAmes,3941,2,1929,1955,803.0,1983,1958,3,1,4,TA,3,456.0,1406,RL,372917
Timber,1215,7,2006,2010,476.0,604,611,2,0,1,TA,1,241.0,5349,RL,324246
BrDale,1787,9,1901,1912,873.0,1042,745,2,1,3,Fa,1,210.0,9589,RL,366487
SawyerW,2213,1,1961,1980,459.0,1557,656,3,1,2,Ex,2,422.0,3203,RL,314346
BrDale,2383,8,1948,1992,252.0,1149,1234,3,1,2,Gd,3,504.0,12793,RL,473714
Blueste,3889,7,1908,1927,1549.0,2658,1231,1,0,5,Gd,1,101.0,6676,RL,470936
Crawfor,1607,6,1991,1999,751.0,656,951,1,1,3,TA,1,115.0,1342,RL,324599
BrkSide,1841,6,1930,1968,,1044,797,3,1,2,Gd,1,193.0,2877,RL,315159
Timber,610,6,1997,2000,1777.0,433,177,2,0,4,Gd,2,288.0,13682,RL,300762
Timber,750,9,1960,1978,980.0,401,349,3,0,2,TA,2,450.0,7185,FV,403465
ClearCr,2930,2,1978,2010,853.0,1832,1098,1,1,2,TA,2,246.0,9876,FV,367889
Edwards,2554,1,1947,1973,1684.0,1231,1323,2,1,2,Gd,0,,14406,C (all),361872
Blueste,958,6,1924,1968,235.0,667,291,2,0,5,Gd,2,444.0,12963,RM,291025
Blmngtn,1607,10,1935,1977,1329.0,676,931,1,1,2,TA,1,238.0,4877,RL,463504
SawyerW,707,8,1907,1919,477.0,523,184,3,1,2,Gd,2,354.0,17442,RH,363946
StoneBr,1399,3,1972,1984,678.0,670,729,3,1,5,Gd,2,432.0,6544,RL,279811
Timber,3961,10,1957,1978,1043.0,2969,992,3,1,3,Gd,3,,3434,RL,750000
NoRidge,3885,1,2000,2010,215.0,2101,1784,1,0,1,TA,1,149.0,5192,RM,418054
NAmes,521,9,1944,1990,854.0,359,162,2,1,5,TA,2,368.0,5621,RL,426549
BrkSide,909,1,1961,2005,134.0,479,430,1,0,5,Gd,0,0.0,7076,RL,158193
StoneBr,1394,3,1938,1959,904.0,1062,332,3,1,2,Gd,3,480.0,11884,RL,285915
NAmes,1014,8,1995,2010,1152.0,456,558,1,0,2,TA,2,,17419,RL,343473
BrkSide,3698,3,1957,1975,409.0,1743,1955,2,1,1,Fa,3,531.0,7128,RL,312919
NWAmes,1308,4,1980,1987,1445.0,781,527,1,0,2,TA,3,546.0,1595,RL,241744
IDOTRR,1373,8,1998,2005,1317.0,594,779,3,1,4,Fa,0,0.0,1713,RL,326181
ClearCr,513,1,2000,2010,1269.0,245,268,2,0,2,TA,0,0.0,11487,RL,165188
StoneBr,1470,6,1982,2007,1724.0,1142,328,1,1,2,TA,0,0.0,15616,RL,342523
MeadowV,3525,1,1963,2010,1579.0,2786,739,1,1,4,Gd,1,130.0,7968,RL,389887
Edwards,3561,1,1943,1968,85.0,1960,1601,2,0,1,Gd,3,654.0,16644,FV,302978
NPkVill,3583,8,1928,1950,555.0,2756,827,2,0,4,Gd,2,386.0,9495,RL,553494
Mitchel,2634,4,1958,2000,1865.0,1627,1007,3,0,5,TA,0,0.0,17861,C (all),390983
Crawfor,3456,1,1970,1982,1398.0,1755,1701,2,0,4,Fa,0,0.0,5654,RL,314499
NAmes,2060,10,1991,2010,1469.0,1402,658,3,0,3,TA,3,462.0,6782,RL,636879
Blueste,1824,7,1908,1916,377.0,1210,614,1,1,5,Gd,3,612.0,17376,RL,376426
ClearCr,1766,5,1991,2010,1413.0,1405,361,3,0,2,Gd,3,420.0,16676,RL,432575
NPkVill,2669,5,1905,1923,1680.0,1350,1319,1,0,5,Gd,2,,4571,RL,337398
NoRidge,3718,1,1928,1975,1074.0,2486,1232,2,1,1,Gd,1,176.0,11974,RL,450145
NPkVill,1249,10,1957,1995,241.0,525,724,1,0,1,TA,1,184.0,6692,RL,449507
BrDale,3927,6,1916,1927,1317.0,1749,2178,2,0,4,Fa,0,0.0,17973,RL,472251
Edwards,1184,9,1915,1929,919.0,475,709,1,0,5,Ex,1,178.0,15609,RL,466301
Blueste,2427,9,1986,2010,1586.0,1941,486,1,1,2,Ex,2,366.0,18091,FV,693913
NWAmes,2856,8,1994,2007,265.0,2058,798,1,0,1,TA,1,232.0,1993,RL,534566
SawyerW,1194,5,1902,1912,1143.0,853,341,1,1,2,Gd,2,446.0,2469,RM,257146
NPkVill,2835,1,1920,1945,711.0,1712,1123,3,1,3,TA,0,0.0,9923,RM,310873
Sawyer,806,9,1963,2004,1940.0,419,387,1,0,1,Gd,3,315.0,9082,RL,462761
NWAmes,2489,1,1989,2010,1271.0,1146,1343,3,1,4,Gd,2,386.0,15156,C (all),293569
IDOTRR,3461,8,1935,1945,69.0,1778,1683,2,0,3,Gd,3,375.0,10474,FV,558976
Mitchel,1161,5,2005,2010,1876.0,639,522,2,0,5,Gd,0,0.0,12652,RL,292722
Crawfor,1048,3,2000,2010,56.0,736,312,3,0,2,TA,2,224.0,6830,RL,209914
BrDale,3923,7,1985,2010,1405.0,2416,1507,2,0,1,Gd,2,384.0,6292,RL,512885
NridgHt,811,7,1961,1979,38.0,349,462,2,0,3,Gd,1,124.0,4612,RL,346916
NridgHt,3420,9,1941,1946,800.0,1392,2028,1,1,3,Gd,2,480.0,14365,RL,595944
Gilbert,1582,7,1975,2010,1466.0,697,885,1,1,1,Ex,0,0.0,5618,FV,397318
MeadowV,3471,3,1941,1978,1041.0,1958,1513,1,1,5,Ex,3,513.0,15359,RM,387636
NAmes,2237,1,1960,2008,1975.0,1729,508,3,1,5,TA,2,,2988,RL,263522
BrkSide,1254,8,1912,1953,731.0,821,433,3,0,4,TA,0,0.0,1767,RL,365342
Sawyer,534,3,1910,1937,824.0,384,150,2,0,5,Fa,0,0.0,10837,FV,149109
NAmes,944,8,1953,1953,755.0,553,391,1,1,4,Gd,2,250.0,3722,RL,403867
Timber,2640,8,1915,1949,351.0,1437,1203,3,0,3,Gd,1,153.0,15904,RL,500479
Somerst,2482,5,1907,1946,1995.0,1100,1382,3,1,1,Ex,2,476.0,6021,RL,435296
NWAmes,1730,1,2003,2010,1839.0,1298,432,1,1,5,Gd,2,448.0,10503,RL,285421
IDOTRR,852,10,1958,2004,1321.0,607,245,3,1,4,TA,1,110.0,8841,RL,484071
SawyerW,1402,7,1956,1962,282.0,655,747,1,1,3,TA,0,0.0,11169,RL,372984
OldTown,1855,10,1939,1949,1609.0,1122,733,2,0,5,TA,2,386.0,16085,RL,550842
Sawyer,3409,5,2008,2010,109.0,2028,1381,2,0,2,Gd,1,182.0,14979,RL,456105
BrkSide,2248,8,1958,1961,1016.0,1461,787,2,1,3,Gd,3,399.0,13842,RL,446043
Gilbert,658,9,1901,1925,1203.0,512,146,1,1,5,Fa,3,411.0,19170,RL,413288
Veenker,2477,7,1993,2004,1961.0,1565,912,3,1,3,Gd,1,186.0,15761,RM,518871
Mitchel,1456,7,1993,2010,543.0,897,559,2,1,1,Gd,0,0.0,12338,RL,350538
Mitchel,2571,1,1975,2010,1769.0,1080,1491,2,1,1,Fa,1,230.0,13552,RL,311974
Somerst,903,4,1909,1954,1817.0,383,520,2,0,1,TA,0,0.0,11070,RL,219176
StoneBr,3352,2,1943,1954,24.0,1591,1761,3,1,2,TA,3,453.0,5049,RL,292710
OldTown,1015,2,1910,1952,842.0,419,596,3,1,1,Gd,2,258.0,13117,FV,209080
Edwards,3279,2,1978,2010,790.0,2286,993,1,0,2,Gd,1,212.0,3803,RL,351813
SawyerW,1887,4,1979,2010,737.0,1300,587,2,0,1,Ex,3,726.0,9155,RL,317628
CollgCr,3953,1,1980,2003,56.0,1796,2157,3,0,3,TA,2,482.0,14678,RM,403228
Blmngtn,3079,4,1989,2004,179.0,2261,818,1,0,5,Gd,3,321.0,12629,RL,436754
ClearCr,1455,2,1901,1913,231.0,672,783,2,0,5,TA,1,171.0,12401,RL,213465
Timber,2699,5,1949,1973,1917.0,1404,1295,3,0,1,TA,1,246.0,18083,RL,489505
NWAmes,2212,3,1911,1914,342.0,1105,1107,3,0,5,TA,2,262.0,13449,RM,259160
Blueste,3494,8,1989,1999,476.0,1917,1577,1,0,1,Gd,1,194.0,15919,RL,467494
SawyerW,1107,4,1922,1953,1822.0,555,552,2,0,1,Ex,3,420.0,19223,C (all),280378
NoRidge,2967,1,1917,1965,575.0,1767,1200,2,1,4,TA,2,348.0,16285,RL,275863
NoRidge,1773,1,1961,1967,454.0,998,775,3,0,4,TA,2,288.0,16326,RL,317504
Somerst,3688,10,1995,2010,1255.0,2930,758,2,1,4,TA,3,336.0,9728,RH,706632
StoneBr,3413,3,1961,1971,288.0,1441,1972,1,1,2,Gd,0,0.0,10419,RL,457904
NAmes,2035,9,1937,1964,1236.0,929,1106,3,1,4,TA,2,,5424,RM,474382
Blmngtn,3125,7,1966,2006,257.0,1316,1809,3,1,1,TA,0,0.0,17675,RM,432793
NWAmes,2882,2,1937,1959,529.0,1874,1008,1,1,3,Gd,3,306.0,1749,FV,277403
Sawyer,1941,9,1966,2010,686.0,818,1123,3,1,4,TA,3,585.0,18063,RL,488757
StoneBr,3479,10,1993,2010,928.0,2555,924,2,1,4,TA,2,470.0,16334,RL,745243
NWAmes,2297,2,1960,2009,228.0,1389,908,2,1,3,Gd,1,113.0,10742,RM,279414
Crawfor,794,3,1900,1927,1249.0,484,310,3,0,1,Ex,2,438.0,13943,RL,210139
SawyerW,1254,10,1993,2010,595.0,783,471,1,1,2,TA,1,230.0,3601,RL,523716
SawyerW,1894,2,1944,1990,1826.0,887,1007,1,1,4,Ex,0,0.0,9010,RL,323168
Gilbert,685,3,1995,2010,434.0,328,357,2,1,3,TA,1,171.0,7092,RL,189935
ClearCr,1769,6,1927,1951,881.0,933,836,1,1,1,TA,2,490.0,10959,RL,331794
OldTown,1136,9,1920,1948,1020.0,724,412,3,0,5,TA,1,181.0,8516,RL,361714
BrkSide,1791,9,2009,2010,1781.0,866,925,3,1,2,TA,3,468.0,13012,RL,548493
NWAmes,3808,7,1912,1944,401.0,1700,2108,2,0,3,Ex,0,0.0,6205,RL,532079
CollgCr,1029,3,1926,1961,621.0,810,219,2,0,3,Gd,3,633.0,17066,RL,190326
Crawfor,2568,4,1999,2010,1789.0,1049,1519,2,1,3,TA,3,441.0,7299,RM,336922
SawyerW,3458,6,1906,1919,87.0,2493,965,1,1,4,Gd,3,537.0,18283,RM,490168
Blueste,3414,5,1921,1955,583.0,2441,973,3,0,5,TA,3,654.0,8588,RL,391735
Timber,1293,2,1973,2002,1916.0,670,623,3,1,2,TA,1,219.0,12566,RL,231031
Blueste,2647,6,2002,2010,1565.0,1202,1445,3,1,1,Gd,3,477.0,16886,RL,466396
SWISU,3299,3,1952,1968,1707.0,1511,1788,2,0,1,Gd,1,132.0,2867,RL,351103
CollgCr,977,8,1978,1980,308.0,663,314,3,0,5,TA,3,642.0,16410,RM,380076
Somerst,2122,2,1978,1993,905.0,1394,728,1,1,3,TA,2,454.0,17382,RM,303807
NPkVill,3869,1,1903,1948,342.0,2758,1111,1,1,3,Gd,3,306.0,2394,C (all),415642
Somerst,1439,9,1995,2010,435.0,1115,324,3,1,3,Fa,2,206.0,12435,RL,495587
NAmes,1025,3,1922,1950,176.0,693,332,2,0,3,TA,1,199.0,14808,RL,159159
SawyerW,2881,1,1969,2010,138.0,1332,1549,3,1,3,Fa,0,0.0,13645,RL,267881
SawyerW,501,7,1987,2001,193.0,249,252,1,0,5,Ex,1,,10984,RL,301870
MeadowV,874,10,1983,2010,1209.0,644,230,1,0,4,Gd,0,0.0,7491,RL,440116
NPkVill,2840,5,2000,2010,1241.0,1373,1467,1,1,2,TA,0,0.0,19142,RL,347439
Edwards,3384,5,1983,2010,,1451,1933,3,0,3,TA,3,732.0,9346,RL,373050
Blmngtn,3552,1,1975,2010,1184.0,2420,1132,1,1,4,Gd,0,0.0,6234,RL,336609
NPkVill,1052,9,1932,1978,942.0,590,462,2,1,1,TA,1,196.0,15338,RL,469419
NridgHt,2865,7,1927,1964,524.0,2200,665,3,0,5,TA,3,357.0,2654,RL,431615
Mitchel,2025,8,1907,1929,1831.0,1336,689,3,1,4,Ex,0,0.0,7773,RH,426266
NoRidge,2351,9,1900,1924,1624.0,1025,1326,1,0,3,TA,1,121.0,14094,RL,544313
Crawfor,880,6,1936,1977,1859.0,685,195,1,0,3,TA,0,0.0,4263,RL,288433
StoneBr,2146,5,1962,1968,1065.0,1080,1066,2,1,3,Gd,0,0.0,15803,RL,377322
ClearCr,513,6,1921,1942,914.0,274,239,3,1,4,Gd,3,690.0,4342,FV,290108
Blueste,1003,2,1969,1985,209.0,562,441,1,1,3,TA,3,579.0,8273,RL,208158
Gilbert,2778,4,1920,1937,740.0,1168,1610,2,1,4,Gd,1,107.0,8439,C (all),350111
MeadowV,2508,3,1995,2010,861.0,1501,1007,1,0,3,Ex,3,555.0,12526,RL,368221
BrkSide,3655,7,1934,1974,1298.0,1642,2013,3,0,1,Fa,3,564.0,8230,RM,448027
Timber,629,9,1978,1987,953.0,352,277,1,0,1,TA,2,474.0,16062,RL,453081
IDOTRR,1337,5,1904,1913,1302.0,722,615,3,1,2,TA,2,424.0,19416,RL,246433
MeadowV,3716,6,1959,1965,1274.0,2635,1081,1,0,3,TA,1,120.0,6640,RL,471888
CollgCr,3438,10,1945,1992,1333.0,2479,959,3,0,3,Ex,3,324.0,6411,RL,750000
NPkVill,2540,2,1949,1998,1743.0,1171,1369,2,1,4,Gd,1,247.0,4381,RM,294922
Blmngtn,527,3,1947,1984,832.0,288,239,3,1,4,Gd,2,270.0,9102,RL,225661
Blmngtn,2613,3,1905,1931,139.0,1435,1178,2,1,3,Gd,2,270.0,10762,RL,275378
Crawfor,3734,9,1988,2010,791.0,1719,2015,3,0,2,TA,2,344.0,16880,RH,655088
Edwards,1752,7,1955,1955,545.0,1260,492,2,1,3,TA,1,249.0,19213,RL,343605
BrDale,760,8,2009,2010,1844.0,518,242,1,0,4,Gd,3,300.0,18765,FV,446152
Blueste,2546,10,1958,1991,1016.0,1212,1334,3,0,3,Gd,0,0.0,9294,RL,699298
NridgHt,1972,9,2003,2006,1927.0,1078,894,1,0,4,Gd,3,408.0,4831,FV,618757
NAmes,1947,6,1928,1944,1553.0,861,1086,2,0,3,TA,1,171.0,10643,RL,349702
Sawyer,959,4,1970,1973,56.0,624,335,3,0,5,Gd,2,412.0,2016,RL,230652
Edwards,800,1,2003,2010,,358,442,3,1,4,Gd,0,0.0,7529,RL,146252
OldTown,3466,8,1976,2001,4.0,2753,713,1,0,2,TA,1,240.0,17888,RL,550734
Somerst,3874,7,2001,2004,1433.0,2759,1115,3,1,5,Ex,2,366.0,13321,RL,660971
NAmes,2834,2,1917,1917,1437.0,1575,1259,3,0,3,Gd,1,142.0,12601,RL,295669
SWISU,3966,8,1901,1907,1205.0,2504,1462,1,0,4,TA,0,0.0,5394,RH,612994
NPkVill,3581,5,1907,1936,1036.0,2737,844,3,1,5,Ex,2,248.0,10824,RH,535892
OldTown,1129,7,1974,2010,1362.0,701,428,1,0,2,TA,3,744.0,11341,FV,337053
NoRidge,769,4,1996,2004,1820.0,361,408,1,0,4,Gd,1,172.0,9403,RH,309363
OldTown,3139,5,1953,1987,1282.0,1731,1408,1,1,5,Ex,0,0.0,19702,RM,424093
Gilbert,2493,8,1937,1944,89.0,1837,656,1,1,5,Gd,3,303.0,16390,RH,525398
Mitchel,2128,1,1947,1970,615.0,1399,729,1,0,5,Fa,0,0.0,17215,C (all),233572
BrkSide,2301,1,1926,1944,890.0,1519,782,2,0,1,TA,1,195.0,10009,RL,290575
NoRidge,3391,4,1919,1954,697.0,2532,859,2,0,3,Fa,0,0.0,2738,RM,352154
Blmngtn,1361,3,1911,1960,1273.0,1031,330,1,1,4,TA,2,226.0,19736,FV,219823
Timber,3932,10,1942,1984,1278.0,3019,913,2,0,4,TA,0,0.0,16329,RM,747597
BrkSide,1780,2,1960,1986,1611.0,779,1001,2,1,4,Gd,1,176.0,5817,RL,252888
CollgCr,2680,3,1930,1961,897.0,1655,1025,3,1,5,Gd,2,240.0,19996,RL,346232
NPkVill,3847,1,1990,2003,970.0,2678,1169,1,0,3,Gd,0,0.0,12205,RM,402839
ClearCr,2299,1,1995,2010,1131.0,1615,684,2,1,2,Gd,0,0.0,2544,FV,280855
SawyerW,2206,6,1960,1987,667.0,1417,789,3,0,4,Gd,2,436.0,3716,RL,438644
Edwards,3519,5,1973,2001,593.0,1642,1877,3,0,3,Gd,3,453.0,16593,RL,479895
SawyerW,3060,8,1966,1981,588.0,2200,860,1,1,3,Gd,3,582.0,7790,RL,493312
IDOTRR,2860,2,2008,2010,484.0,1967,893,1,1,1,Gd,2,490.0,12983,RL,316892
Crawfor,1075,4,1990,2010,981.0,467,608,3,1,4,Gd,0,0.0,7139,RL,233309
Somerst,3433,8,1934,1964,971.0,2010,1423,1,1,5,TA,3,564.0,16150,RL,611962
Gilbert,2503,6,1994,1997,1281.0,1175,1328,1,1,3,TA,2,218.0,13470,FV,427420
StoneBr,1807,1,1914,1950,638.0,966,841,3,1,3,Gd,1,151.0,13267,RL,244231
Mitchel,3692,4,1915,1931,996.0,1503,2189,3,0,2,Gd,0,0.0,6309,RL,457285
MeadowV,3678,1,1912,1950,1926.0,2060,1618,1,0,1,Gd,1,214.0,19266,FV,393364
Blueste,2456,2,1934,1981,281.0,1522,934,2,0,3,TA,0,0.0,15612,RL,271853
Veenker,3234,5,1974,2010,985.0,2095,1139,1,1,3,Ex,3,672.0,10224,RL,513282
Sawyer,2520,8,1958,1983,1111.0,1676,844,2,1,5,TA,1,249.0,17221,RL,431642
SWISU,3775,8,1920,1967,1227.0,2772,1003,3,1,5,Gd,1,142.0,7021,RL,593959
Gilbert,2712,3,1953,1991,15.0,1318,1394,2,0,2,Gd,2,256.0,9723,RM,323791
SawyerW,2852,4,1974,2010,1174.0,1278,1574,3,0,2,Gd,3,615.0,6230,FV,417137
Mitchel,2155,10,1929,1932,935.0,1596,559,1,1,2,Gd,3,657.0,5653,RL,616915
BrDale,2079,6,1947,1976,253.0,961,1118,1,1,5,TA,0,0.0,9132,RL,323405
SWISU,2347,10,1934,1963,1211.0,1853,494,3,1,5,Gd,2,260.0,18086,RL,605802
CollgCr,2703,3,1985,2006,328.0,1992,711,3,1,1,TA,2,454.0,17748,RM,392346
Blmngtn,1890,2,1937,1947,543.0,1134,756,3,0,4,TA,0,0.0,19921,RM,224773
CollgCr,2242,6,1930,1931,782.0,1776,466,1,0,4,TA,1,200.0,9070,RL,353957
Gilbert,2425,5,1977,2010,996.0,1064,1361,1,0,1,Gd,0,0.0,17856,RL,430042
MeadowV,1119,10,1923,1934,1420.0,583,536,2,1,4,Ex,0,0.0,16394,FV,609384
Timber,1774,5,1948,1977,1540.0,1162,612,3,0,5,Gd,0,0.0,9235,FV,334746
NridgHt,1456,10,1995,2010,1482.0,786,670,2,1,4,Gd,2,268.0,3975,RL,554848
NPkVill,2439,5,1999,2010,1353.0,1881,558,1,1,5,TA,0,0.0,12540,RM,353781
Blueste,2881,10,1931,1956,1843.0,1228,1653,2,1,1,Ex,0,0.0,5305,RL,609172
Blmngtn,1468,5,1954,1960,844.0,909,559,2,0,2,TA,0,0.0,7844,RL,325147
Timber,3058,3,1978,1978,1192.0,1945,1113,1,0,1,Gd,3,627.0,18632,RL,406681
SawyerW,1816,7,2006,2010,1716.0,1200,616,1,1,4,Fa,1,160.0,15688,RL,397371
CollgCr,1543,6,1957,1979,365.0,774,769,3,0,5,Gd,1,147.0,16259,RL,366298
Veenker,781,4,1998,2010,1201.0,426,355,2,1,4,Gd,1,242.0,2994,RL,286232
BrkSide,3344,2,1902,1946,654.0,2466,878,1,1,4,Fa,1,170.0,16053,RL,287142
Crawfor,3572,9,1979,1984,1385.0,1707,1865,1,1,2,Gd,2,484.0,17826,RL,651534
CollgCr,2666,1,1968,1973,759.0,1948,718,2,0,4,Fa,2,466.0,7301,RL,295455
NPkVill,1558,4,1984,2010,638.0,973,585,1,0,2,Ex,0,0.0,7952,RL,260160
Edwards,697,1,1909,1916,1798.0,491,206,3,1,5,Gd,2,242.0,16285,RM,202593
BrDale,3032,6,1982,2005,1063.0,2078,954,3,0,5,TA,1,,5881,RL,472434
Somerst,1582,4,1924,1945,923.0,764,818,2,0,2,TA,3,666.0,6387,RL,290675
Timber,3384,5,1967,1985,415.0,2123,1261,3,0,1,Gd,0,0.0,2760,RH,388977
Mitchel,1684,5,1960,1996,1378.0,1258,426,1,0,5,Fa,0,0.0,5187,RL,291119
Mitchel,1508,9,1928,1945,254.0,863,645,1,1,1,TA,1,114.0,16178,RL,442893
Somerst,3238,1,1918,1948,1166.0,2547,691,1,0,5,TA,1,223.0,9784,RL,347778
Crawfor,1729,2,1942,1978,1775.0,1004,725,1,1,5,Gd,1,143.0,11135,C (all),286518
NPkVill,1535,6,1965,1994,1763.0,701,834,2,1,3,Gd,2,428.0,16943,RM,363015
BrDale,989,5,1973,2010,1876.0,549,440,3,0,4,Fa,0,0.0,12210,RL,246069
Mitchel,775,7,1960,1992,,605,170,3,1,4,Fa,1,133.0,18521,RL,249642
NPkVill,3240,3,1942,1951,576.0,1710,1530,1,1,1,Gd,3,516.0,7146,RL,307652
Mitchel,2789,3,1924,1960,,2084,705,2,0,4,Ex,0,0.0,9763,FV,349292
Sawyer,1739,10,1919,1930,10.0,1308,431,1,1,1,Gd,0,0.0,14636,RL,566431
Sawyer,1774,2,1947,1976,1643.0,958,816,1,1,5,TA,2,342.0,3669,RM,238553
StoneBr,625,3,1982,2008,25.0,270,355,2,0,3,Ex,0,0.0,15292,RL,224635
Timber,716,10,1986,2010,956.0,493,223,2,0,3,Gd,1,214.0,2182,RL,523187
NPkVill,3877,1,1923,1931,420.0,2033,1844,1,0,5,Gd,1,118.0,4471,RH,364806
IDOTRR,1708,5,1910,1930,1686.0,1218,490,3,0,2,TA,3,345.0,3340,C (all),281401
BrkSide,3610,5,2009,2010,1244.0,2083,1527,1,0,2,Ex,0,0.0,7672,RL,513336
IDOTRR,1746,7,1997,2010,1876.0,1037,709,3,1,4,Gd,0,0.0,8862,RL,409081
CollgCr,3755,4,1954,1986,495.0,2670,1085,3,1,1,TA,2,470.0,13076,RL,380534
StoneBr,3042,3,1927,1969,1260.0,1682,1360,2,0,3,TA,1,173.0,7200,RL,360662
SawyerW,2974,1,1968,1982,236.0,1716,1258,2,0,4,Gd,3,351.0,9265,RL,339135
SawyerW,3749,8,1962,1963,1008.0,2063,1686,1,1,5,Gd,1,142.0,9765,RL,562983
NoRidge,1418,3,1958,1996,218.0,775,643,3,0,3,TA,0,0.0,1889,RL,250002
CollgCr,3999,2,1904,1947,1510.0,2440,1559,3,0,1,TA,0,0.0,6363,RL,400800
Timber,1817,4,1950,1967,,1314,503,1,1,1,TA,3,474.0,19674,RL,294930
OldTown,2698,3,1920,1922,460.0,1469,1229,1,1,2,Fa,0,0.0,17540,RL,273687
Veenker,2931,1,1911,1917,662.0,1787,1144,1,1,4,TA,3,435.0,2558,RL,303468
OldTown,2161,3,1949,1991,634.0,1444,717,2,0,5,TA,3,489.0,14898,RM,286948
NWAmes,807,2,1903,1920,,409,398,1,1,3,Gd,1,169.0,4166,RL,147488
Veenker,1859,8,1941,1984,989.0,949,910,1,0,1,Gd,3,438.0,18255,RL,424784
Blmngtn,2469,6,1983,2010,188.0,1909,560,3,1,3,Gd,0,0.0,10036,RL,396927
Blmngtn,3293,9,1937,1973,254.0,2270,1023,1,0,5,Gd,2,468.0,14004,RL,615067
Crawfor,1391,8,1924,1956,67.0,877,514,3,0,3,TA,2,410.0,1937,RL,453465
Gilbert,874,10,1913,1956,615.0,576,298,3,0,4,Gd,0,0.0,6182,RL,494869
NAmes,3579,3,1974,2004,335.0,1473,2106,2,1,2,TA,2,300.0,17128,RL,363209
CollgCr,2533,5,1931,1941,670.0,1639,894,1,1,3,Gd,2,256.0,4972,C (all),323641
Blmngtn,1864,7,1910,1913,820.0,1125,739,1,1,2,Gd,3,636.0,13629,RH,375860
NAmes,628,5,1960,1977,873.0,388,240,3,0,5,Fa,2,484.0,16267,RL,211416
